
NAME, CODE,  CODES,  FLAG
Afghanistan,	93,	AF / AFG,	 https://flagsapi.com/AF/shiny/64.png
Albania,	355,	AL / ALB,	 https://flagsapi.com/AL/shiny/64.png
Algeria,	213,	DZ / DZA,	 https://flagsapi.com/DZ/shiny/64.png
American Samoa,	1-684,	AS / ASM,	 https://flagsapi.com/AS/shiny/64.png
Andorra,	,376,	AD / AND,	 https://flagsapi.com/AD/shiny/64.png
Angola,	244,	AO / AGO	, https://flagsapi.com/AO/shiny/64.png
Anguilla,	1-264,	AI / AIA ,	 https://flagsapi.com/AI/shiny/64.png
Antigua and Barbuda,	1-268,	AG / ATG , https://flagsapi.com/AG/shiny/64.png
Argentina,	54,	AR / ARG	, https://flagsapi.com/AR/shiny/64.png
Armenia,	374,	AM / ARM	, https://flagsapi.com/AM/shiny/64.png
Aruba,	297,	AW / ABW	, https://flagsapi.com/AW/shiny/64.png
United Kingdom,	44,	GB / GBR	, Trillion https://flagsapi.com/GB/shiny/64.png
United States,	1,	US / USA	, Trillion https://flagsapi.com/US/shiny/64.png
Uruguay,	598,	UY / URY	, https://flagsapi.com/UY/shiny/64.png
Uzbekistan,	998,	UZ / UZB	, https://flagsapi.com/UZ/shiny/64.png
Vanuatu,	678,	VU / VUT	, https://flagsapi.com/VU/shiny/64.png
Vatican,	379,	VA / VAT	,	https://flagsapi.com/VA/shiny/64.png
Venezuela,	58,	VE / VEN	, https://flagsapi.com/VE/shiny/64.png
Vietnam,	84,	VN / VNM	, https://flagsapi.com/VN/shiny/64.png
Wallis and Futuna,	681,	WF / WLF	,	https://flagsapi.com/WF/shiny/64.png
Western Sahara,	212,	EH / ESH	,	https://flagsapi.com/EH/shiny/64.png
Yemen,	967,	YE / YEM	, https://flagsapi.com/YE/shiny/64.png
Zambia,	260,	ZM / ZMB	, https://flagsapi.com/ZM/shiny/64.png
Zimbabwe,	263,	ZW / ZWE	, https://flagsapi.com/ZW/shiny/64.png
